BkNo,Year,Day,hh,mm,ss,mss,ns,Azimuth(deg),Elevation(deg)Tv,DvTSnRSnDTpSTpSId,BkCtSRtInTim,,,,,,,,
1,2016,252,12,20,43,0,0,120.89,79.01,0,5,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,44,0,0,120.89,79.01,0,5,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,45,0,0,120.89,79.01,0,5,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,46,0,0,158.69,19.49,0,3,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,47,0,0,158.7,18.48,0,3,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,48,0,0,158.75,17.49,0,3,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,49,0,0,158.75,16.49,0,3,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,50,0,0,158.75,15.48,0,3,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,51,0,0,158.78,14.5,0,3,f9,f0,18,4,4,0,1,0
1,2016,252,12,20,52,0,0,158.82,13.48,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,20,53,0,0,158.86,9.48,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,20,54,0,0,158.73,8.49,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,20,55,0,0,158.72,7.49,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,20,56,0,0,158.85,6.48,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,20,57,0,0,158.83,5.49,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,20,58,0,0,158.73,4.47,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,20,59,0,0,158.78,3.48,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,21,0,0,0,158.85,2.5,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,21,1,0,0,158.77,1.73,0,3,f9,f0,18,4,4,0,1,0
2,2016,252,12,21,2,0,0,158.81,1.46,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,3,0,0,158.79,1.53,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,4,0,0,158.79,1.54,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,5,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,6,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,7,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,8,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,9,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,10,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,11,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
3,2016,252,12,21,12,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,13,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,14,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,15,0,0,158.79,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,16,0,0,158.77,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,17,0,0,158.77,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,18,0,0,158.77,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,19,0,0,158.77,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,20,0,0,158.77,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,21,0,0,158.77,1.55,0,3,f9,f0,18,4,4,0,1,0
4,2016,252,12,21,22,0,0,158.78,1.55,0,3,f9,f0,18,4,4,0,1,0
5,2016,252,12,21,23,0,0,158.81,1.55,0,3,f9,f0,18,4,4,0,1,0
5,2016,252,12,21,24,0,0,158.81,1.55,0,3,f9,f0,18,4,4,0,1,0
5,2016,252,12,21,25,0,0,158.81,1.55,0,3,f9,f0,18,4,4,0,1,0
5,2016,252,12,21,26,0,0,158.81,1.55,0,3,f9,f0,18,4,4,0,1,0
