BkNo	Year	Day	hh	mm	ss	mss	ns	Azimuth(deg)	Elevation(deg	)Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
1	2016	240	17	4	50	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	51	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	52	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	53	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	54	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	55	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	56	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	57	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	58	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
1	2016	240	17	4	59	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2901	1	0
2	2016	240	17	5	0	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	1	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	2	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	3	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	4	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	5	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	6	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	7	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	8	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2902	1	0
2	2016	240	17	5	9	0	0	162.45	1.56	0	3	f8	f0	8	4	4	2902	1	0
3	2016	240	17	5	10	0	0	162.45	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	11	0	0	162.45	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	12	0	0	162.45	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	13	0	0	162.45	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	14	0	0	162.45	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	15	0	0	162.43	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	16	0	0	162.42	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	17	0	0	162.42	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	18	0	0	162.42	1.56	0	3	f8	f0	8	4	4	2903	1	0
3	2016	240	17	5	19	0	0	162.42	1.56	0	3	f8	f0	8	4	4	2903	1	0
4	2016	240	17	5	20	0	0	162.42	1.56	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	21	0	0	162.42	1.56	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	22	0	0	162.42	1.56	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	23	0	0	162.42	1.55	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	24	0	0	162.43	1.55	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	25	0	0	162.44	1.55	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	26	0	0	162.44	1.55	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	27	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	28	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2904	1	0
4	2016	240	17	5	29	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2904	1	0
5	2016	240	17	5	30	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	31	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	32	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	33	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	34	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	35	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	36	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	37	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	38	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
5	2016	240	17	5	39	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2905	1	0
6	2016	240	17	5	40	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2906	1	0
6	2016	240	17	5	41	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2906	1	0
6	2016	240	17	5	42	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2906	1	0
6	2016	240	17	5	43	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2906	1	0
6	2016	240	17	5	44	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2906	1	0
6	2016	240	17	5	45	0	0	162.45	1.55	0	3	f8	f0	8	4	4	2906	1	0
