Year,Day,hh,mm,ss,mss,ns,Range (km)
2016,240,17,7,40,751,0,2749.04347719
2016,240,17,7,41,751,0,2742.43530193
2016,240,17,7,42,751,0,2735.82757636
2016,240,17,7,43,751,0,2729.22179945
2016,240,17,7,44,751,0,2722.61662212
2016,240,17,7,45,751,0,2716.01219427
2016,240,17,7,46,751,0,2709.40896559
2016,240,17,7,47,751,0,2702.80678618
2016,240,17,7,48,751,0,2696.20625563
2016,240,17,7,49,751,0,2689.60647457
2016,240,17,7,50,751,0,2683.00714319
2016,240,17,7,51,751,0,2676.41036005
2016,240,17,7,52,751,0,2669.8137268
2016,240,17,7,53,751,0,2663.21844262
2016,240,17,7,54,751,0,2656.62510709
2016,240,17,7,55,751,0,2650.03222125
2016,240,17,7,56,751,0,2643.44098427
2016,240,17,7,57,751,0,2636.84974729
2016,240,17,7,58,751,0,2630.26165813
2016,240,17,7,59,751,0,2623.67521783
2016,240,17,8,0,751,0,2617.08922721
2016,240,17,8,1,751,0,2610.50428587
2016,240,17,8,2,751,0,2603.92024391
2016,240,17,8,3,751,0,2597.33740112
2016,240,17,8,4,751,0,2590.75635708
2016,240,17,8,5,751,0,2584.17771138
2016,240,17,8,6,751,0,2577.60041475
2016,240,17,8,7,751,0,2571.0238676
2016,240,17,8,8,751,0,2564.44792003
2016,240,17,8,9,751,0,2557.87422091
2016,240,17,8,10,751,0,2551.30262033
2016,240,17,8,11,751,0,2544.73206903
2016,240,17,8,12,751,0,2538.16301669
2016,240,17,8,13,751,0,2531.5960629
2016,240,17,8,14,751,0,2525.03015838
2016,240,17,8,15,751,0,2518.46530313
2016,240,17,8,16,751,0,2511.90329592
2016,240,17,8,17,751,0,2505.34248787
2016,240,17,8,18,751,0,2498.78317879
2016,240,17,8,19,751,0,2492.22446929
2016,240,17,8,20,751,0,2485.66965709
2016,240,17,8,21,751,0,2479.11499479
2016,240,17,8,22,751,0,2472.56318051
2016,240,17,8,23,751,0,2466.01181593
2016,240,17,8,24,751,0,2459.46239999
2016,240,17,8,25,751,0,2452.91508261
2016,240,17,8,26,751,0,2446.36986377
2016,240,17,8,27,751,0,2439.82674348
2016,240,17,8,28,751,0,2433.28542194
2016,240,17,8,29,751,0,2426.74604905
2016,240,17,8,30,751,0,2420.20847492
2016,240,17,8,31,751,0,2413.67180017
2016,240,17,8,32,751,0,2407.13842313
2016,240,17,8,33,751,0,2400.60639516
2016,240,17,8,34,751,0,2394.07586615
2016,240,17,8,35,751,0,2387.54818517
2016,240,17,8,36,751,0,2381.02260274
2016,240,17,8,37,751,0,2374.49806958
2016,240,17,8,38,751,0,2367.97773351
2016,240,17,8,39,751,0,2361.45814693
2016,240,17,8,40,751,0,2354.94065889
2016,240,17,8,41,751,0,2348.42496961
2016,240,17,8,42,751,0,2341.91287784
2016,240,17,8,43,751,0,2335.40198523
2016,240,17,8,44,751,0,2328.89364087
2016,240,17,8,45,751,0,2322.38754494
2016,240,17,8,46,751,0,2315.88384736
2016,240,17,8,47,751,0,2309.38194853
2016,240,17,8,48,751,0,2302.88304762
2016,240,17,8,49,751,0,2296.38594548
2016,240,17,8,50,751,0,2289.89139156
2016,240,17,8,51,751,0,2283.39983557
2016,240,17,8,52,751,0,2276.91097771
2016,240,17,8,53,751,0,2270.42376872
2016,240,17,8,54,751,0,2263.93910795
2016,240,17,8,55,751,0,2257.45654574
2016,240,17,8,56,751,0,2250.97818062
2016,240,17,8,57,751,0,2244.50161425
2016,240,17,8,58,751,0,2238.02774602
2016,240,17,8,59,751,0,2231.55672581
2016,240,17,9,0,751,0,2225.08810394
2016,240,17,9,1,751,0,2218.62203031
2016,240,17,9,2,751,0,2212.15835502
2016,240,17,9,3,751,0,2205.69857703
2016,240,17,9,4,751,0,2199.24164707
2016,240,17,9,5,751,0,2192.78726535
2016,240,17,9,6,751,0,2186.33543186
2016,240,17,9,7,751,0,2179.88674619
2016,240,17,9,8,751,0,2173.44075866
2016,240,17,9,9,751,0,2166.99806884
2016,240,17,9,10,751,0,2160.55867674
2016,240,17,9,11,751,0,2154.12168297
2016,240,17,9,12,751,0,2147.68888631
2016,240,17,9,13,751,0,2141.25878777
2016,240,17,9,14,751,0,2134.83138737
2016,240,17,9,15,751,0,2128.40773437
2016,240,17,9,16,751,0,2121.98722919
2016,240,17,9,17,751,0,2115.56987184
2016,240,17,9,18,751,0,2109.1558122
2016,240,17,9,19,751,0,2102.74639934
2016,240,17,9,20,751,0,2096.33863535
2016,240,17,9,21,751,0,2089.93461875
2016,240,17,9,22,751,0,2083.53389988
2016,240,17,9,23,751,0,2077.137528
2016,240,17,9,24,751,0,2070.74430393
2016,240,17,9,25,751,0,2064.35497717
2016,240,17,9,26,751,0,2057.96969761
2016,240,17,9,27,751,0,2051.58801556
2016,240,17,9,28,751,0,2045.20933143
2016,240,17,9,29,751,0,2038.83409491
2016,240,17,9,30,751,0,2032.46305549
2016,240,17,9,31,751,0,2026.09621316
2016,240,17,9,32,751,0,2019.73296835
2016,240,17,9,33,751,0,2013.37377073
2016,240,17,9,34,751,0,2007.0187702
2016,240,17,9,35,751,0,2000.66751708
2016,240,17,9,36,751,0,1994.32151033
2016,240,17,9,37,751,0,1987.97835161
2016,240,17,9,38,751,0,1981.63909019
2016,240,17,9,39,751,0,1975.30477534
2016,240,17,9,40,751,0,1968.9745077
2016,240,17,9,41,751,0,1962.64903673
2016,240,17,9,42,751,0,1956.32716327
2016,240,17,9,43,751,0,1950.01023639
2016,240,17,9,44,751,0,1943.69705691
2016,240,17,9,45,751,0,1937.38957349
2016,240,17,9,46,751,0,1931.08613727
2016,240,17,9,47,751,0,1924.78704804
2016,240,17,9,48,751,0,1918.49170621
2016,240,17,9,49,751,0,1912.20236024
2016,240,17,9,50,751,0,1905.91826063
2016,240,17,9,51,751,0,1899.6389577
2016,240,17,9,52,751,0,1893.36340218
2016,240,17,9,53,751,0,1887.09309302
2016,240,17,9,54,751,0,1880.82788034
2016,240,17,9,55,751,0,1874.56761423
2016,240,17,9,56,751,0,1868.31364376
2016,240,17,9,57,751,0,1862.0635706
2016,240,17,9,58,751,0,1855.81904359
2016,240,17,9,59,751,0,1849.58006275
2016,240,17,10,0,751,0,1843.34617838
2016,240,17,10,1,751,0,1837.11784017
2016,240,17,10,2,751,0,1830.89504812
2016,240,17,10,3,751,0,1824.67780223
2016,240,17,10,4,751,0,1818.46565281
2016,240,17,10,5,751,0,1812.26009882
2016,240,17,10,6,751,0,1806.05949142
2016,240,17,10,7,751,0,1799.86502975
2016,240,17,10,8,751,0,1793.67671383
2016,240,17,10,9,751,0,1787.49409397
2016,240,17,10,10,751,0,1781.31702027
2016,240,17,10,11,751,0,1775.14699169
2016,240,17,10,12,751,0,1768.98265917
2016,240,17,10,13,751,0,1762.82402271
2016,240,17,10,14,751,0,1756.67198168
2016,240,17,10,15,751,0,1750.52653608
2016,240,17,10,16,751,0,1744.38768592
2016,240,17,10,17,751,0,1738.25528129
2016,240,17,10,18,751,0,1732.12917231
2016,240,17,10,19,751,0,1726.00995855
2016,240,17,10,20,751,0,1719.89778992
2016,240,17,10,21,751,0,1713.79176703
2016,240,17,10,22,751,0,1707.69248947
2016,240,17,10,23,751,0,1701.60100652
2016,240,17,10,24,751,0,1695.51671859
2016,240,17,10,25,751,0,1689.43917598
2016,240,17,10,26,751,0,1683.36897829
2016,240,17,10,27,751,0,1677.30597562
2016,240,17,10,28,751,0,1671.25031786
2016,240,17,10,29,751,0,1665.20260461
2016,240,17,10,30,751,0,1659.16223627
2016,240,17,10,31,751,0,1653.12876316
2016,240,17,10,32,751,0,1647.10383413
2016,240,17,10,33,751,0,1641.0868496
2016,240,17,10,34,751,0,1635.07765967
2016,240,17,10,35,751,0,1629.07686394
2016,240,17,10,36,751,0,1623.0841626
2016,240,17,10,37,751,0,1617.09910597
