BkNo	Year	Day	hh	mm	ss	mss	ns	Range (km)	RangCalib(km)	Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
1	2016	240	17	7	40	751	0	2749.043477	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	41	751	0	2742.435302	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	42	751	0	2735.827576	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	43	751	0	2729.221799	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	44	751	0	2722.616622	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	45	751	0	2716.012194	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	46	751	0	2709.408966	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	47	751	0	2702.806786	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	48	751	0	2696.206256	0	0	0	f8	f0	8	4	1	1	1	1
1	2016	240	17	7	49	751	0	2689.606475	0	0	0	f8	f0	8	4	1	1	1	1
2	2016	240	17	7	50	751	0	2683.007143	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	51	751	0	2676.41036	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	52	751	0	2669.813727	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	53	751	0	2663.218443	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	54	751	0	2656.625107	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	55	751	0	2650.032221	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	56	751	0	2643.440984	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	57	751	0	2636.849747	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	58	751	0	2630.261658	0	0	0	f8	f0	8	4	1	2	1	1
2	2016	240	17	7	59	751	0	2623.675218	0	0	0	f8	f0	8	4	1	2	1	1
3	2016	240	17	8	0	751	0	2617.089227	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	1	751	0	2610.504286	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	2	751	0	2603.920244	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	3	751	0	2597.337401	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	4	751	0	2590.756357	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	5	751	0	2584.177711	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	6	751	0	2577.600415	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	7	751	0	2571.023868	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	8	751	0	2564.44792	0	0	0	f8	f0	8	4	1	3	1	1
3	2016	240	17	8	9	751	0	2557.874221	0	0	0	f8	f0	8	4	1	3	1	1
4	2016	240	17	8	10	751	0	2551.30262	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	11	751	0	2544.732069	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	12	751	0	2538.163017	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	13	751	0	2531.596063	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	14	751	0	2525.030158	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	15	751	0	2518.465303	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	16	751	0	2511.903296	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	17	751	0	2505.342488	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	18	751	0	2498.783179	0	0	0	f8	f0	8	4	1	4	1	1
4	2016	240	17	8	19	751	0	2492.224469	0	0	0	f8	f0	8	4	1	4	1	1
5	2016	240	17	8	20	751	0	2485.669657	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	21	751	0	2479.114995	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	22	751	0	2472.563181	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	23	751	0	2466.011816	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	24	751	0	2459.4624	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	25	751	0	2452.915083	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	26	751	0	2446.369864	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	27	751	0	2439.826743	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	28	751	0	2433.285422	0	0	0	f8	f0	8	4	1	5	1	1
5	2016	240	17	8	29	751	0	2426.746049	0	0	0	f8	f0	8	4	1	5	1	1
6	2016	240	17	8	30	751	0	2420.208475	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	31	751	0	2413.6718	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	32	751	0	2407.138423	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	33	751	0	2400.606395	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	34	751	0	2394.075866	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	35	751	0	2387.548185	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	36	751	0	2381.022603	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	37	751	0	2374.49807	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	38	751	0	2367.977734	0	0	0	f8	f0	8	4	1	6	1	1
6	2016	240	17	8	39	751	0	2361.458147	0	0	0	f8	f0	8	4	1	6	1	1
