Year,Day,hh,mm,ss,mss,ns,RangeRate(km/s)
2016,240,17,4,50,800,0,-2.71531208
2016,240,17,4,53,100,0,-2.71543593
2016,240,17,4,54,100,0,-2.71575497
2016,240,17,4,55,100,0,-2.71558063
2016,240,17,4,56,100,0,-2.71586116
2016,240,17,4,57,100,0,-2.71569615
2016,240,17,4,58,100,0,-2.71574897
2016,240,17,4,59,100,0,-2.71573465
2016,240,17,5,0,100,0,-2.71596056
2016,240,17,5,1,100,0,-2.71527924
2016,240,17,5,2,100,0,-2.7155663
2016,240,17,5,3,100,0,-2.71597228
2016,240,17,5,4,100,0,-2.7153875
2016,240,17,5,5,100,0,-2.71578855
2016,240,17,5,6,100,0,-2.71576849
2016,240,17,5,7,100,0,-2.71584864
2016,240,17,5,8,100,0,-2.71581666
2016,240,17,5,9,100,0,-2.71565531
2016,240,17,5,10,100,0,-2.71562146
2016,240,17,5,11,100,0,-2.7155286
2016,240,17,5,12,100,0,-2.71563605
2016,240,17,5,13,100,0,-2.71600086
2016,240,17,5,14,100,0,-2.71580414
2016,240,17,5,18,300,0,-2.71581952
2016,240,17,5,19,300,0,-2.71596262
2016,240,17,5,20,300,0,-2.71613697
2016,240,17,5,21,300,0,-2.71569515
2016,240,17,5,22,300,0,-2.715997
2016,240,17,5,23,300,0,-2.71587002
2016,240,17,5,24,300,0,-2.71601832
2016,240,17,5,25,300,0,-2.71582625
2016,240,17,5,26,300,0,-2.71586269
2016,240,17,5,27,300,0,-2.71568862
2016,240,17,5,28,300,0,-2.71527538
2016,240,17,5,29,300,0,-2.71606881
2016,240,17,5,30,300,0,-2.7157144
2016,240,17,5,31,300,0,-2.71535732
2016,240,17,5,32,300,0,-2.71507032
2016,240,17,5,33,300,0,-2.71566363
2016,240,17,5,34,300,0,-2.71567716
2016,240,17,5,35,300,0,-2.71563605
2016,240,17,5,36,300,0,-2.7160381
2016,240,17,5,37,300,0,-2.71551168
2016,240,17,5,38,300,0,-2.71609666
2016,240,17,5,39,300,0,-2.71586376
2016,240,17,5,40,300,0,-2.71596209
2016,240,17,5,41,300,0,-2.71577915
2016,240,17,5,42,300,0,-2.71567716
2016,240,17,5,43,300,0,-2.71594364
2016,240,17,5,44,300,0,-2.71566936
2016,240,17,5,45,300,0,-2.71565191
2016,240,17,5,46,300,0,-2.71552573
2016,240,17,5,47,300,0,-2.71561887
2016,240,17,5,48,300,0,-2.71586036
2016,240,17,5,49,300,0,-2.71551661
2016,240,17,5,50,300,0,-2.7159447
2016,240,17,5,51,300,0,-2.71536205
2016,240,17,5,52,300,0,-2.71529303
2016,240,17,5,53,300,0,-2.71564491
2016,240,17,5,54,300,0,-2.71578775
2016,240,17,5,55,300,0,-2.71603057
2016,240,17,5,56,300,0,-2.71563446
2016,240,17,5,57,300,0,-2.71624342
2016,240,17,5,58,300,0,-2.71577476
2016,240,17,5,59,300,0,-2.71586376
2016,240,17,6,0,300,0,-2.71564358
2016,240,17,6,1,300,0,-2.71534353
2016,240,17,6,2,300,0,-2.7157102
2016,240,17,6,3,300,0,-2.7158479
2016,240,17,6,4,300,0,-2.71591785
2016,240,17,6,5,300,0,-2.71549396
2016,240,17,6,6,300,0,-2.71564905
2016,240,17,6,7,300,0,-2.7156202
2016,240,17,6,8,300,0,-2.71563139
2016,240,17,6,9,300,0,-2.71531495
2016,240,17,6,10,300,0,-2.71535186
2016,240,17,6,11,300,0,-2.71519337
2016,240,17,6,12,300,0,-2.71608207
2016,240,17,6,13,300,0,-2.71578748
2016,240,17,6,14,300,0,-2.7154276
2016,240,17,6,15,300,0,-2.71530476
2016,240,17,6,16,300,0,-2.71565164
2016,240,17,6,17,300,0,-2.71569515
2016,240,17,6,18,300,0,-2.71516812
2016,240,17,6,19,300,0,-2.7151965
2016,240,17,6,20,300,0,-2.71510103
2016,240,17,6,21,300,0,-2.71530089
2016,240,17,6,22,300,0,-2.7153873
2016,240,17,6,23,300,0,-2.71562666
2016,240,17,6,24,300,0,-2.71555771
2016,240,17,6,25,300,0,-2.71525166
2016,240,17,6,26,300,0,-2.71516999
2016,240,17,6,27,300,0,-2.71528737
2016,240,17,6,28,300,0,-2.71544919
2016,240,17,6,29,300,0,-2.7154346
2016,240,17,6,30,300,0,-2.71557177
2016,240,17,6,31,300,0,-2.71556111
2016,240,17,6,32,300,0,-2.71570008
2016,240,17,6,33,300,0,-2.71514081
2016,240,17,6,34,300,0,-2.71501983
2016,240,17,6,35,300,0,-2.71524573
2016,240,17,7,4,200,0,-3.68087402
2016,240,17,7,5,200,0,-3.6805771
2016,240,17,7,6,200,0,-3.68029477
2016,240,17,7,7,200,0,-3.67999079
2016,240,17,7,8,200,0,-3.67972019
