BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
1	2016	240	17	4	50	800	0	-2.71531208	0	0	0	f8	f0	8	4	3	1	1	1
2	2016	240	17	4	53	100	0	-2.71543593	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	4	54	100	0	-2.71575497	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	4	55	100	0	-2.71558063	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	4	56	100	0	-2.71586116	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	4	57	100	0	-2.71569615	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	4	58	100	0	-2.71574897	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	4	59	100	0	-2.71573465	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	5	0	100	0	-2.71596056	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	5	1	100	0	-2.71527924	0	0	0	f8	f0	8	4	3	2	1	1
2	2016	240	17	5	2	100	0	-2.7155663	0	0	0	f8	f0	8	4	3	2	1	1
3	2016	240	17	5	3	100	0	-2.71597228	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	4	100	0	-2.7153875	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	5	100	0	-2.71578855	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	6	100	0	-2.71576849	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	7	100	0	-2.71584864	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	8	100	0	-2.71581666	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	9	100	0	-2.71565531	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	10	100	0	-2.71562146	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	11	100	0	-2.7155286	0	0	0	f8	f0	8	4	3	3	1	1
3	2016	240	17	5	12	100	0	-2.71563605	0	0	0	f8	f0	8	4	3	3	1	1
4	2016	240	17	5	13	100	0	-2.71600086	0	0	0	f8	f0	8	4	3	4	1	1
