BkNo,Year,Day,hh,mm,ss,mss,RANGE,Azimuth,Elev,range rate,Az rate,El rate
2016,2016,240,17,7,40,751,2749.043477,161.38,5.98,-6.60881762,0,0.07
2016,2016,240,17,7,41,751,2742.435302,161.38,6.05,-6.60782355,0,0.05
2016,2016,240,17,7,42,751,2735.827576,161.38,6.1,-6.60677432,0,0.06
2016,2016,240,17,7,43,751,2729.221799,161.38,6.16,-6.60573442,0,0.07
2016,2016,240,17,7,44,751,2722.616622,161.38,6.23,-6.60466388,0,0.08
2016,2016,240,17,7,45,751,2716.012194,161.38,6.31,-6.60357928,-0.05,0.06
2016,2016,240,17,7,46,751,2709.408966,161.33,6.37,-6.60247849,-0.03,0.07
2016,2016,240,17,7,47,751,2702.806786,161.3,6.44,-6.60138816,-0.01,0.07
2016,2016,240,17,7,48,751,2696.206256,161.29,6.51,-6.60025932,-0.04,0.09
2016,2016,240,17,7,49,751,2689.606475,161.25,6.6,-6.5991091,-0.01,0.07
2016,2016,240,17,7,50,751,2683.007143,161.24,6.67,-6.59794016,0,0.09
2016,2016,240,17,7,51,751,2676.41036,161.24,6.76,-6.59676656,0,0.07
2016,2016,240,17,7,52,751,2669.813727,161.24,6.83,-6.59559349,-0.03,0.07
2016,2016,240,17,7,53,751,2663.218443,161.21,6.9,-6.59437565,-0.02,0.08
2016,2016,240,17,7,54,751,2656.625107,161.19,6.98,-6.59312964,0,0.07
2016,2016,240,17,7,55,751,2650.032221,161.19,7.05,-6.59190454,-0.01,0.08
2016,2016,240,17,7,56,751,2643.440984,161.18,7.13,-6.5906466,0,0.07
2016,2016,240,17,7,57,751,2636.849747,161.18,7.2,-6.58937513,-0.06,0.08
2016,2016,240,17,7,58,751,2630.261658,161.12,7.28,-6.58807609,-0.02,0.07
2016,2016,240,17,7,59,751,2623.675218,161.1,7.35,-6.58675366,-0.01,0.08
2016,2016,240,17,8,0,751,2617.089227,161.09,7.43,-6.58544103,-0.03,0.08
2016,2016,240,17,8,1,751,2610.504286,161.06,7.51,-6.58411701,-0.02,0.07
2016,2016,240,17,8,2,751,2603.920244,161.04,7.58,-6.58273835,0,0.09
2016,2016,240,17,8,3,751,2597.337401,161.04,7.67,-6.58135551,0,0.08
2016,2016,240,17,8,4,751,2590.756357,161.04,7.75,-6.5799576,-0.02,0.08
2016,2016,240,17,8,5,751,2584.177711,161.02,7.83,-6.57854251,-0.04,0.07
2016,2016,240,17,8,6,751,2577.600415,160.98,7.9,-6.57709198,-0.01,0.07
2016,2016,240,17,8,7,751,2571.023868,160.97,7.97,-6.57564724,-0.02,0.07
2016,2016,240,17,8,8,751,2564.44792,160.95,8.04,-6.57420557,-0.02,0.08
2016,2016,240,17,8,9,751,2557.874221,160.93,8.12,-6.57268742,-0.03,0.09
2016,2016,240,17,8,10,751,2551.30262,160.9,8.21,-6.57118539,0,0.08
2016,2016,240,17,8,11,751,2544.732069,160.9,8.29,-6.56965632,-0.01,0.09
